Date,Open,High,Low,Close
2008-08-22,5370.2,5505.6,5368.0,5505.6
2008-08-26,5505.6,5505.6,5369.3,5470.7
2008-08-27,5528.1,5528.1,5528.1,5528.1
2008-08-28,5528.1,5634.0,5496.9,5601.2
2008-08-29,5601.2,5649.1,5587.4,5636.6
2008-09-01,5602.8,5602.8,5602.8,5602.8
2008-09-02,5620.7,5620.7,5620.7,5620.7
2008-09-03,5620.7,5620.7,5492.1,5499.7
2008-09-04,5362.1,5362.1,5362.1,5362.1
2008-09-05,5362.1,5362.1,5227.6,5240.7
2008-09-08,5240.7,5447.6,5240.7,5446.3
2008-09-09,5415.6,5415.6,5415.6,5415.6
2008-09-10,5415.6,5419.5,5327.8,5366.2
2008-09-11,5366.2,5377.9,5258.1,5318.4
2008-09-12,5318.4,5416.7,5318.4,5416.7
2008-09-15,5416.7,5416.7,5124.9,5204.2
2008-09-16,5204.2,5204.2,4961.2,5025.6
2008-09-17,4912.4,4912.4,4912.4,4912.4
2008-09-18,4880.0,4880.0,4880.0,4880.0
2008-09-19,4880.0,5351.2,4857.1,5311.3
2008-09-22,5236.26,5236.26,5236.26,5236.26
2008-09-23,5136.12,5136.12,5136.12,5136.12
2008-09-24,5095.57,5095.57,5095.57,5095.57
2008-09-25,5095.57,5211.64,5060.74,5197.02
2008-09-26,5197.02,5197.02,5057.33,5088.47
2008-09-29,5088.47,5088.47,4818.77,4818.77
2008-09-30,4902.45,4902.45,4902.45,4902.45
2008-10-01,4902.45,5012.24,4891.46,4959.59
2008-10-02,4959.59,5052.0,4862.11,4870.34
2008-10-03,4870.34,5003.9,4832.1,4980.25
2008-10-06,4980.25,4980.25,4549.66,4589.19
2008-10-07,4589.19,4745.01,4517.47,4605.22
2008-10-08,4605.22,4654.18,4245.29,4366.69
2008-10-09,4366.69,4512.45,4274.4,4313.8
2008-10-10,4313.8,4313.8,3873.99,3932.06
2008-10-13,3932.06,4256.9,3932.06,4256.9
2008-10-14,4256.9,4534.35,4256.9,4394.21
2008-10-15,4079.59,4079.59,4079.59,4079.59
2008-10-16,3861.39,3861.39,3861.39,3861.39
2008-10-17,4063.01,4063.01,4063.01,4063.01
